scenario,n_steps,n_rel_err_C_MD,mean_rel_err_C_MD,median_rel_err_C_MD,std_rel_err_C_MD,p90_rel_err_C_MD,max_rel_err_C_MD,n_abs_err_C_MD,mean_abs_err_C_MD,median_abs_err_C_MD,std_abs_err_C_MD,p90_abs_err_C_MD,max_abs_err_C_MD,worst_case,worst_step_index,worst_sweep_x,worst_step_mean_rel_err_C_MD,worst_step_mean_abs_err_C_MD
sticks_2,10,1000,2509.5646215504175,562.0354642466611,7026.732783318201,6222.908367937975,103212.02892630553,1000,0.07872699675503332,0.06251806241841551,0.07814686458437868,0.14452394337016974,0.8851035400191224,stick_1500_dperp_0.05,1,0.05,14642.823503053953,0.12557077942612804
crossing_needles_2,10,1000,934.2062218649822,398.09799251647564,1668.014338179492,2310.249629086816,26955.98214326063,1000,0.09005629023474902,0.06947977471286182,0.09699729349077225,0.17265932172526838,1.1623095532584962,crossing_needles_2_angle90,10,90.0,2714.4462952196855,0.07530561331565994
o_prog_gauss_2,10,1000,542.7951308134384,467.9086846263124,440.8728991911736,1041.8942262602604,3726.7064356260344,1000,0.0650043549221042,0.0572305649799979,0.052038625333416515,0.12342507403357485,0.44863366507421176,ODI_0.58,8,0.58,652.9341729434112,0.06760297268226566
demyelination_progressive_sticks,10,1000,330.7280345486381,23.449177650066606,1016.8836705722455,625.9008515128195,9688.594711215077,1000,0.08336483856899045,0.0680844270743162,0.07628916389031239,0.15513573167000053,0.8024055273985196,demyelination_progressive_sticks_end0.10,1,0.1,2589.0447617380037,0.08416048400926111
fanning_sticks_1500,10,1000,67.09319030682603,52.402799929181704,72.02710050819836,124.32989875187467,1015.5512355378758,1000,0.10233682525449987,0.07909347795876506,0.1083429820290894,0.18829949088411777,1.4576769002003767,fanning_sticks_1500_span30,4,30.0,79.68108371698848,0.11437066989108556
frac_gauss_2,10,1000,35.103116402776074,0.47484287298972744,133.47042206191009,2.0413863871522833,1426.7798216320766,1000,0.09788253054135154,0.09264391391522597,0.06551621278762639,0.18522530642017734,0.4259900101782414,Frac_0.00,1,0.0,346.19914024155287,0.06813324746595638
spheres_2,10,1000,29.37219330351821,4.197557374100512,62.369956667435304,75.9286362303141,372.6613325369149,1000,0.06990598839840939,0.07082382101007953,0.032590389617785154,0.11276091463429937,0.16137792485481273,spheres_csf_1500_w0.05,1,0.05,194.9544851355738,0.08442343625549306
packed_crossings_conserved_2,10,1000,20.17268654775907,15.688269073640548,21.053269995123717,40.28771905393718,258.11640020758534,1000,0.08651729979538658,0.06740695189710438,0.0905379264744856,0.1732566526462462,1.1252890844782768,crossing_angle20_frac50_50,1,20.0,22.02436386188575,0.09201952928158386
iso_uni_gauss_2,10,1000,9.709195713269503,10.268329655203495,4.930078320809775,14.368471130654973,44.38405155592232,1000,0.09509127526638175,0.10095384132263283,0.04789989509306564,0.13878093789896956,0.4274335473163341,iso_uni2.60,10,2.6,13.986862782022921,0.13159036368609306
partial_volume_triplet,10,1000,1.5635932829569106,0.42526385048712295,5.0626252794521625,1.6823181826267462,78.79804715137662,1000,0.10785900635704636,0.09205518071733784,0.07508844505862788,0.20595427281048412,0.6745433540840645,partial_volume_triplet_fiso0.00,1,0.0,11.147188981715294,0.0954244745417374
iso_bimod_gauss_2,10,1000,0.5977076713876569,0.14594132728286519,1.539232317920498,1.1065937124199339,16.54279775520505,1000,0.04323076724906829,0.040262006010396235,0.03011063109557089,0.07488070218782554,0.2604616917138112,iso_bimod0.80_V0.01,1,0.01,4.0525258693762956,0.06380587850199768
